Category,Disease,Clinical_Feature,Importance,Rank
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Time spent outdoors in winter,0.13121516,1
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Days/week of vigorous physical activity,0.107490465,2
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Mobile use vs 2yrs: No,0.09635827,3
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Insomnia: Usually,0.09195323,4
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Time spent driving,0.08741909,5
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Duration of walks,0.086250275,6
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Tea intake,0.0862323,7
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Hair colour: Light brown,0.08003206,8
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Non-oily fish: 1/week,0.07961532,9
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Days/week of walk 10+ mins,0.078701586,10
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Stair climbing: 6-10 times,0.0754947,11
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Beef: 1/week,0.07415055,12
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Walking pace: Steady/average,0.07151456,13
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Skin colour: Fair,0.06955201,14
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Sleep duration,0.06906563,15
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Fresh fruit intake,0.06800504,16
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Pork: <1/week,0.067076504,17
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Salt added: Never/rarely,0.06695522,18
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Time spent outdoors in summer,0.06609035,19
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Processed meat: <1/week,0.06214884,20
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Non-oily fish: 2-4/week,0.060896464,21
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Time spent watching TV,0.060118183,22
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Insomnia: Sometimes,0.059056163,23
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Sun protection: Most times,0.056747522,24
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_and_polyp_of_uterus_filtered,Mobile freq: 5-29 mins,0.05459299,25
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Time spent outdoors in summer,0.10691074,1
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Cereal intake,0.100196585,2
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Time spent watching TV,0.10003699,3
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Past smoking: Most/all days,0.09171117,4
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Oily fish: <1/week,0.081477724,5
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Smoking: Never,0.080551,6
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Walking pace: Brisk,0.07821985,7
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Processed meat: 1/week,0.076976284,8
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Daytime nap: Sometimes,0.07355525,9
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Daytime dozing: Never/rarely,0.07003523,10
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Alcohol: Daily,0.06959416,11
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Age first had sexual intercourse,0.059431203,12
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Daytime nap: Never/rarely,0.059386894,13
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Fresh fruit intake,0.058719497,14
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Hot drink temp: Hot,0.056885198,15
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Time spent driving,0.055726834,16
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Coffee intake,0.0534359,17
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Alcohol: 1-2/week,0.05333635,18
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Drive faster than limit: Never/rarely,0.051321976,19
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Hair colour: Dark brown,0.05128536,20
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Days/week of walk 10+ mins,0.051167786,21
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Water intake,0.05019721,22
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Days/week of vigorous physical activity,0.050015196,23
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Sun protection: Most times,0.04809701,24
Benign_neoplasm_or_Carcinoma_in_situ,Benign_neoplasm_of_colon_rectum_anus_and_anal_canal,Cheese: 1/week,0.048012003,25
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Time spent using computer,0.090405695,1
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Insomnia: Usually,0.08731384,2
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Lamb/mutton: <1/week,0.08049219,3
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Time spent outdoors in summer,0.07834575,4
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Skin colour: Fair,0.06379203,5
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Mobile hand: Left,0.061112795,6
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Pork: 1/week,0.06020542,7
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Days/week of walk 10+ mins,0.059798095,8
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Processed meat: <1/week,0.058629166,9
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Time spent outdoors in winter,0.05851253,10
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Hair colour: Light brown,0.057948016,11
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Tea intake,0.057878926,12
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Sleep duration,0.05363858,13
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Non-oily fish: 1/week,0.052831583,14
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Cheese: 1/week,0.05198881,15
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Cereal intake,0.051806625,16
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Insomnia: Never/rarely,0.051698077,17
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Mobile freq: 30-59 mins,0.050851904,18
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Milk: Semi-skimmed,0.05077174,19
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Pork: <1/week,0.05000445,20
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Bread intake,0.04995827,21
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Bread: Wholemeal,0.04977204,22
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Facial ageing: Younger than you are,0.049464498,23
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Cooked vegetable intake,0.04918563,24
Benign_neoplasm_or_Carcinoma_in_situ,Leiomyoma_of_uterus_filtered,Time spent driving,0.049015377,25
Cancers,Primary_Malignancy_Breast,Time spent outdoors in winter,0.056204453,1
Cancers,Primary_Malignancy_Breast,Time spent using computer,0.049503118,2
Cancers,Primary_Malignancy_Breast,Time spent watching TV,0.030865587,3
Cancers,Primary_Malignancy_Breast,Mobile use: More than eight years,0.023911707,4
Cancers,Primary_Malignancy_Breast,Tea intake,0.022674166,5
Cancers,Primary_Malignancy_Breast,Time spent outdoors in summer,0.02262236,6
Cancers,Primary_Malignancy_Breast,Lamb/mutton: <1/week,0.020664161,7
Cancers,Primary_Malignancy_Breast,Days/week of walk 10+ mins,0.020388138,8
Cancers,Primary_Malignancy_Breast,Coffee intake,0.02005165,9
Cancers,Primary_Malignancy_Breast,Ever smoked: No,0.020028125,10
Cancers,Primary_Malignancy_Breast,Salt added: Never/rarely,0.019941479,11
Cancers,Primary_Malignancy_Breast,Fresh fruit intake,0.01967955,12
Cancers,Primary_Malignancy_Breast,Days/week of vigorous physical activity,0.01909684,13
Cancers,Primary_Malignancy_Breast,Sleep duration,0.018657288,14
Cancers,Primary_Malignancy_Breast,Bread intake,0.018073486,15
Cancers,Primary_Malignancy_Breast,Cereal intake,0.018056259,16
Cancers,Primary_Malignancy_Breast,Past smoking: Most/all days,0.017650923,17
Cancers,Primary_Malignancy_Breast,Days/week of moderate physical activity,0.017280268,18
Cancers,Primary_Malignancy_Breast,Hair colour: Dark brown,0.01725151,19
Cancers,Primary_Malignancy_Breast,Bread: Wholemeal,0.017042981,20
Cancers,Primary_Malignancy_Breast,Mobile freq: 5-29 mins,0.016747428,21
Cancers,Primary_Malignancy_Breast,Mobile use: Two to four years,0.0163751,22
Cancers,Primary_Malignancy_Breast,Hands-free use: Never or almost never,0.016129436,23
Cancers,Primary_Malignancy_Breast,Cooked vegetable intake,0.015904887,24
Cancers,Primary_Malignancy_Breast,Snoring: Yes,0.015747316,25
Cancers,Primary_Malignancy_Lung_and_trachea,Smoking: Never,0.37954628,1
Cancers,Primary_Malignancy_Lung_and_trachea,Days/week of moderate physical activity,0.3789909,2
Cancers,Primary_Malignancy_Lung_and_trachea,Bread intake,0.33716637,3
Cancers,Primary_Malignancy_Lung_and_trachea,Bread: Wholemeal,0.26499715,4
Cancers,Primary_Malignancy_Lung_and_trachea,Past smoking: Never,0.2632999,5
Cancers,Primary_Malignancy_Lung_and_trachea,Days/week of vigorous physical activity,0.26251173,6
Cancers,Primary_Malignancy_Lung_and_trachea,Poultry: 2-4/week,0.25491485,7
Cancers,Primary_Malignancy_Lung_and_trachea,Past smoking: Occasional,0.2476879,8
Cancers,Primary_Malignancy_Lung_and_trachea,Ever smoked: No,0.21538857,9
Cancers,Primary_Malignancy_Lung_and_trachea,Walking pace: Brisk,0.2103466,10
Cancers,Primary_Malignancy_Lung_and_trachea,Alcohol vs 10yrs ago: Less now,0.2051617,11
Cancers,Primary_Malignancy_Lung_and_trachea,Chronotype: More morning,0.2017075,12
Cancers,Primary_Malignancy_Lung_and_trachea,Time spent watching TV,0.18472447,13
Cancers,Primary_Malignancy_Lung_and_trachea,Hands-free use: Never or almost never,0.18085243,14
Cancers,Primary_Malignancy_Lung_and_trachea,Past smoking: Tried once/twice,0.17981096,15
Cancers,Primary_Malignancy_Lung_and_trachea,Facial ageing: Younger than you are,0.17807621,16
Cancers,Primary_Malignancy_Lung_and_trachea,Smokers in household: No,0.17760813,17
Cancers,Primary_Malignancy_Lung_and_trachea,Alcohol vs 10yrs ago: About the same,0.1637974,18
Cancers,Primary_Malignancy_Lung_and_trachea,Salt added: Never/rarely,0.1588996,19
Cancers,Primary_Malignancy_Lung_and_trachea,Mother: High blood pressure,0.15800421,20
Cancers,Primary_Malignancy_Lung_and_trachea,Tea intake,0.15736255,21
Cancers,Primary_Malignancy_Lung_and_trachea,Smoking: Current,0.15153864,22
Cancers,Primary_Malignancy_Lung_and_trachea,Cheese: 2-4/week,0.14608,23
Cancers,Primary_Malignancy_Lung_and_trachea,Beef: <1/week,0.14310643,24
Cancers,Primary_Malignancy_Lung_and_trachea,Salt added: Sometimes,0.14309959,25
Cancers,Primary_Malignancy_Prostate_filtered,Time spent watching TV,0.0935617,1
Cancers,Primary_Malignancy_Prostate_filtered,Coffee intake,0.078228146,2
Cancers,Primary_Malignancy_Prostate_filtered,Cooked vegetable intake,0.075931124,3
Cancers,Primary_Malignancy_Prostate_filtered,Bread: White,0.07510549,4
Cancers,Primary_Malignancy_Prostate_filtered,Oily fish: 1/week,0.06795361,5
Cancers,Primary_Malignancy_Prostate_filtered,Processed meat: 2-4/week,0.065859005,6
Cancers,Primary_Malignancy_Prostate_filtered,Days/week of vigorous physical activity,0.05498871,7
Cancers,Primary_Malignancy_Prostate_filtered,Pork: 1/week,0.05460066,8
Cancers,Primary_Malignancy_Prostate_filtered,Snoring: No,0.052716196,9
Cancers,Primary_Malignancy_Prostate_filtered,Insomnia: Usually,0.05154364,10
Cancers,Primary_Malignancy_Prostate_filtered,Bread: Wholemeal,0.050061923,11
Cancers,Primary_Malignancy_Prostate_filtered,Cereal intake,0.04904981,12
Cancers,Primary_Malignancy_Prostate_filtered,Mobile use: Five to eight years,0.04885961,13
Cancers,Primary_Malignancy_Prostate_filtered,Insomnia: Never/rarely,0.0476481,14
Cancers,Primary_Malignancy_Prostate_filtered,Raw vegetable intake,0.04531929,15
Cancers,Primary_Malignancy_Prostate_filtered,Oily fish: <1/week,0.043934997,16
Cancers,Primary_Malignancy_Prostate_filtered,Past smoking: Never,0.042989235,17
Cancers,Primary_Malignancy_Prostate_filtered,Fresh fruit intake,0.042834215,18
Cancers,Primary_Malignancy_Prostate_filtered,Daytime dozing: Never/rarely,0.04224856,19
Cancers,Primary_Malignancy_Prostate_filtered,Days/week of walk 10+ mins,0.042175636,20
Cancers,Primary_Malignancy_Prostate_filtered,Ever smoked: No,0.042013288,21
Cancers,Primary_Malignancy_Prostate_filtered,Time spent outdoors in summer,0.041872807,22
Cancers,Primary_Malignancy_Prostate_filtered,Days/week of moderate physical activity,0.041333556,23
Cancers,Primary_Malignancy_Prostate_filtered,Hair colour: Dark brown,0.041217323,24
Cancers,Primary_Malignancy_Prostate_filtered,Drive faster: Sometimes,0.039741233,25
Cancers,Secondary_malignancy_Liver_and_intrahepatic_bile_duct,Cereal intake,0.15996939,1
